Thickness,ContinuousMeasurement1,ContinuousMeasurement2
0,0.674052205,0.459404522
0.01,0.327804688,0.085322012
0.02,0.245974521,0.645265718
0.03,0.419259412,0.069516418
0.04,0.579954285,0.379067872
0.05,0.67794882,0.14370723
0.06,0.699435904,0.296322798
0.07,0.921356591,0.727006923
0.08,0.016393666,0.971261047
0.09,0.909610619,0.951624995
0.1,0.169367715,0.500521854
0.11,0.192369767,0.676320802
0.12,0.274507623,0.971001636
0.13,0.160810605,0.861447448
0.14,0.75413072,0.016966629
0.15,0.978403384,0.824569075
0.16,0.31815211,0.055985744
0.17,0.434753073,0.278121305
0.18,0.047007337,0.68572514
0.19,0.819739777,0.659847254
0.2,0.717803583,0.905445025
0.21,0.051544775,0.04812274
0.22,0.546852949,0.163624766
0.23,0.942802678,0.127472859
0.24,0.375978106,0.823826755
0.25,0.179571127,0.995995213
0.26,0.545275794,0.160746886
0.27,0.50710212,0.953845843
0.28,0.165909932,0.104034672
0.29,0.69110971,0.08253612
0.3,0.072999594,0.250614989
0.31,0.76314625,0.094009358
0.32,0.116211537,0.984012173
0.33,0.353660654,0.209252454
0.34,0.538686033,0.01059587
0.35,0.241632531,0.731559724
0.36,0.571156701,0.285356608
0.37,0.593718364,0.352310456
0.38,0.525483118,0.034060631
0.39,0.616912519,0.397154233
0.4,0.888368265,0.410374432
0.41,0.540528049,0.475534216
1.94,0.200759514,0.63968923
1.95,0.183216743,0.164254037
1.96,0.37518118,0.527634155
1.97,0.924698038,0.391438994
1.98,0.300212542,0.328349513
1.99,0.916037276,0.257425856
2,0.656722402,0.274991933
2.01,0.04991919,0.810571796
2.02,0.064284501,0.527553841
2.03,0.865419753,0.025976705
2.04,0.498071002,0.347988763
2.05,0.11301645,0.650971457
2.06,0.294835924,0.44096253
2.07,0.15205991,0.752481678
2.08,0.899172188,0.626749448
2.09,0.12224474,0.659957024
2.1,0.083907057,0.545869626
2.11,0.401615985,0.73416413
2.12,0.021149871,0.071252906
2.13,0.220120645,0.961751349
2.14,0.315742502,0.172331002
2.15,0.752786764,0.240170194
2.16,0.634095866,0.695513742
2.17,0.732354563,0.279874461
2.18,0.540264111,0.528254035
2.19,0.212314542,0.354252162
2.2,0.544814277,0.222322552
2.21,0.683603343,0.348492945
2.22,0.238324466,0.449633095
2.23,0.692702206,0.696919929
2.24,0.350060674,0.101344038
2.25,0.998923198,0.926462833
2.26,0.338530743,0.701403455
2.27,0.19547531,0.86110813
2.28,0.367160536,0.554584984
2.29,0.776543507,0.675045261
2.3,0.144673985,0.050416112
2.31,0.852876182,0.489363792
2.32,0.84873317,0.145501982
2.33,0.410431792,0.465040329
2.34,0.997653128,0.450359329
2.35,0.862550981,0.020043
2.36,0.202366197,0.331474771
2.37,0.47784167,0.773183899
2.38,0.59102227,0.040855475
2.39,0.158627518,0.04439073
2.4,0.709990329,0.726003984
2.41,0.69952209,0.245870929
2.42,0.600417873,0.638847241
2.43,0.162080159,0.15070568
2.44,0.165837077,0.663925727
2.45,0.545211914,0.345574511
2.46,0.244941893,0.200854221
2.47,0.524117697,0.722487006
2.48,0.346732675,0.506690364
2.49,0.339597511,0.598842965
2.5,0.743304021,0.125203839
2.51,0.761834186,0.320997629
2.52,0.990078082,0.938569624
2.53,0.534358456,0.499689571
2.54,0.59502299,0.304999711
2.55,0.144771356,0.794684918
2.56,0.707356932,0.903091885
2.57,0.981131514,0.27237542
2.58,0.343160232,0.667149703
2.59,0.779103163,0.077316109
2.6,0.448773604,0.270241097
2.61,0.00092019,0.141407409
2.62,0.645325781,0.356377238
2.63,0.253546674,0.407065559
2.64,0.128882435,0.407145151
2.65,0.794735012,0.288562325
2.66,0.230368626,0.841727496
2.67,0.424388238,0.944801474
2.68,0.191972813,0.346009045
2.69,0.26572151,0.215820327
2.7,0.93654012,0.854718765
2.71,0.726447922,0.62565725
2.72,0.904795237,0.543210441
2.73,0.267247303,0.659369673
2.74,0.882358305,0.899373335
2.75,0.525899878,0.061138582
2.76,0.366594415,0.57966592
2.77,0.513338228,0.590334022
2.78,0.861777774,0.298273767
2.79,0.670036282,0.65466092
2.8,0.814701046,0.037070657
2.81,0.734228887,0.188816173
2.82,0.904272123,0.080685305
2.83,0.689215907,0.872776757
2.84,0.663598847,0.152048655
2.85,0.84082726,0.687881868
2.86,0.906591356,0.075449058
2.87,0.4496895,0.282828514
2.88,0.515444473,0.627744733
2.89,0.217217583,0.501367651
2.9,0.536644851,0.572279985
2.91,0.867194379,0.371459264
2.92,0.123712197,0.034402957
2.93,0.824914411,0.440047002
2.94,0.437908966,0.372433668
2.95,0.745286533,0.734746186
2.96,0.305062081,0.267079949
2.97,0.926567953,0.664657479
2.98,0.819460498,0.300721238
2.99,0.14558738,0.039358968
3,0.699398183,0.891795316
3.01,0.939328038,0.665078671
3.02,0.280149573,0.008109206
3.03,0.069695259,0.950932742
3.04,0.468715187,0.37772307
3.05,0.282610014,0.693191082
3.06,0.692221492,0.366356135
3.07,0.64032421,0.719790347
3.08,0.684253267,0.472073246
3.09,0.46896661,0.689634728
3.1,0.078739941,0.143477271
3.11,0.282013694,0.975814406
3.12,0.050805753,0.598876395
3.13,0.619002964,0.75603532
3.14,0.046676767,0.988915541
3.15,0.73734789,0.629676126
3.16,0.264759673,0.93124719
3.17,0.75813003,0.548659328
3.18,0.482703015,0.197362057
3.19,0.312164858,0.652624597
3.2,0.392457008,0.14121735
3.21,0.916167656,0.849963489
3.22,0.297792921,0.242147638
3.23,0.254296857,0.257255706
3.24,0.872061368,0.507686979
3.25,0.181630669,0.446554808
3.26,0.7115194,0.000105679
3.27,0.231448674,0.103383064
3.28,0.594543279,0.299276631
3.29,0.482487204,0.887598227
