Thickness,BedTop,GS,SectName,SectLoc,UTM_E,UTM_N,BedNumber,Reservoir,Amalg,PlanarLaminations,RippleLaminations,CrossBedding,ClimbingRipples,NestedScourfills,RipUpClasts,DishStructures,WavyLaminations,ImbricatedClasts,Facies,FaciesBlockNum,Element,ElementBlockNum,ElementSet,ElementSetBlockNum,BedThick,BedMeanGS,BedMaxGS,FaciesThick,FaciesMeanGS,FaciesNetGross,ElementThick,ElementMeanGS,ElementSetThick,ElementSetMeanGS,ElementSetNetGross
0.01,0,2.402217662,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.02,0,2.402217662,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.03,0,2.350935611,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.04,0,2.299653561,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.05,0,2.24837151,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.06,0,2.197089459,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.07,0,2.145807408,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.08,0,2.094525357,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.09,0,2.063056825,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.1,0,2.031588294,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.11,0,2.000119762,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.12,0,1.968651231,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.13,0,1.9371827,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.14,0,1.905714168,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.15,0,1.874245637,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.16,0,1.842777106,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.17,0,1.811308574,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.18,0,1.779840043,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.19,0,1.748371511,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.2,0,1.705905414,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.21,0,1.663439318,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.22,0,1.620973221,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.23,0,1.578507124,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.24,0,1.536041027,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.25,0,1.49357493,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.26,0,1.451108833,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
0.27,0,1.436685756,MaudBay,NWMayneIsland,478545,5413334,1,1,0,,,,,,,,,,NonAmalgThickSandstone,6,ChannelFIll,5,ChannelComplex,2,,,,,,,,,,,
