,Save,x,y,PtLabel,pt,BedTop,ymin_raw,ymax_raw,SedStruct,FacName,FacBlockNum,ElementName,ElementBlockNum,ElementSetName,ElementSetBlockNum
1,Temp,,,,,,,,,,,,,,
2,TopBottom,-5,-5,Example,,,,,,,,,,,
3,TopBottom,16.05371381,24.75076563,Bottom,,,,,,,,,,,
4,TopBottom,16.15233883,969.7666972,Top,,,,,,,,,,,
5,BedTops,-5,-5,,1,1,,,,,,,,,
6,BedTops,22.72154576,159.9840706,,1,1,,,,,,,,,
7,BedTops,34.82934901,295.0488332,,2,1,,,,,,,,,
8,BedTops,55.04868844,429.890828,,3,1,,,,,,,,,
9,BedTops,34.14909756,564.9615468,,4,1,,,,,,,,,
10,BedTops,44.30138808,699.9953101,,5,1,,,,,,,,,
11,BedTops,44.70101479,834.9601353,,6,1,,,,,,,,,
12,GSValues,-5,-5,,1,,,,,,,,,,
13,GSValues,23.09643712,27.59442661,,1,,,,,,,,,,
14,GSValues,36.42860921,51.42967952,,2,,,,,,,,,,
15,GSValues,49.7607813,78.53003557,,3,,,,,,,,,,
16,GSValues,63.75956199,105.6303916,,4,,,,,,,,,,
17,GSValues,76.75842978,132.7307477,,5,,,,,,,,,,
18,GSValues,90.09060186,157.8720418,,6,,,,,,,,,,
19,GSValues,131.087031,162.1166759,,7,,,,,,,,,,
20,GSValues,130.966242,186.5781668,,8,,,,,,,,,,
21,GSValues,130.966242,213.6785228,,9,,,,,,,,,,
22,GSValues,130.966242,240.1258582,,10,,,,,,,,,,
23,GSValues,130.966242,267.8792349,,11,,,,,,,,,,
24,GSValues,130.966242,292.0409981,,12,,,,,,,,,,
25,GSValues,76.97094501,431.9759844,,13,,,,,,,,,,
26,GSValues,90.6364214,456.1377477,,14,,,,,,,,,,
27,GSValues,76.97094501,483.8911243,,15,,,,,,,,,,
28,GSValues,90.3031171,510.6649701,,16,,,,,,,,,,
29,GSValues,76.97094501,537.7653261,,17,,,,,,,,,,
30,GSValues,90.3031171,563.8861512,,18,,,,,,,,,,
31,GSValues,90.3031171,567.4777647,,19,,,,,,,,,,
32,GSValues,76.97094501,591.2299863,,20,,,,,,,,,,
33,GSValues,63.30546862,618.6568526,,21,,,,,,,,,,
34,GSValues,49.97329654,645.7572087,,22,,,,,,,,,,
35,GSValues,36.64112445,672.5310544,,23,,,,,,,,,,
36,GSValues,22.97564806,697.019328,,24,,,,,,,,,,
37,GSValues,63.30546862,702.243493,,25,,,,,,,,,,
38,GSValues,63.41172624,726.6768595,,26,,,,,,,,,,
39,GSValues,63.41172624,753.7772156,,27,,,,,,,,,,
40,GSValues,63.41172624,780.8775716,,28,,,,,,,,,,
41,GSValues,63.07842194,808.304438,,29,,,,,,,,,,
42,GSValues,63.41172624,832.1396909,,30,,,,,,,,,,
43,GSValues,63.41172624,836.7108353,,31,,,,,,,,,,
44,GSValues,76.51685165,861.7519552,,32,,,,,,,,,,
45,GSValues,90.51563234,888.8523113,,33,,,,,,,,,,
46,GSValues,103.8478044,915.626157,,34,,,,,,,,,,
47,GSValues,117.5132808,942.7265131,,35,,,,,,,,,,
48,GSValues,130.6940884,967.1365752,,36,,,,,,,,,,
49,GSMarkers,-5,-5,,1,,,,,,,,,,
50,GSMarkers,22.74956541,25.21476317,,2,,,,,,,,,,
51,GSMarkers,36.45844238,24.74540459,,3,,,,,,,,,,
52,GSMarkers,49.97006931,24.74540459,,4,,,,,,,,,,
53,GSMarkers,63.40548226,24.80675493,,5,,,,,,,,,,
54,GSMarkers,77.11435922,24.80675493,,6,,,,,,,,,,
55,GSMarkers,90.42873613,24.80675493,,7,,,,,,,,,,
56,GSMarkers,103.984629,24.92409458,,8,,,,,,,,,,
57,GSMarkers,117.2990059,25.04143422,,9,,,,,,,,,,
58,GSMarkers,130.9644512,25.13077922,,10,,,,,,,,,,
59,GSMarkers,144.3774531,24.77876028,,11,,,,,,,,,,
60,SedStrut,,,,,,-1,-2,Example,,,,,,
61,Facies,,,,,,-1,2,,Example,0,,,,
62,Facies,,,,,,295.0488332,24.75076563,,FaciesA,1,,,,
63,Facies,,,,,,969.7666972,699.9953101,,FaciesA,3,,,,
64,Facies,,,,,,699.9953101,429.890828,,FaciesB,2,,,,
65,Elements,,,,,,-1,2,,,,Example,0,,
66,Elements,,,,,,295.0488332,24.75076563,,,,ElementA,1,,
67,Elements,,,,,,969.7666972,429.890828,,,,ElementB,2,,
68,ElementSets,,,,,,-1,2,,,,,,Example,0
69,ElementSets,,,,,,969.7666972,24.75076563,,,,,,ElementSetA,1
